ORDEN;bbdd_query;query;Procedimiento;bbdd_tabla;ORIGEN;DESTINO;
1;CANAL_ASESOR;CANAL_ASESOR.DBO.SP_SEGUIMIENTO;1;CANAL_ASESOR;CANAL_ASESOR.DBO.BASE_PBI;#BASE_PBI_RESUMEN;
2;CANAL_ASESOR;CANAL_ASESOR.DBO.SP_SEGUIMIENTO;2;CANAL_ASESOR;CANAL_ASESOR.DBO.BASE_PBI;CANAL_ASESOR.DBO.SEGUIMIENTO_INFORME;
3;CANAL_ASESOR;CANAL_ASESOR.DBO.SP_SEGUIMIENTO;2;;#BASE_PBI_RESUMEN;CANAL_ASESOR.DBO.SEGUIMIENTO_INFORME;
4;CANAL_ASESOR;CANAL_ASESOR.DBO.SP_SEGUIMIENTO;3;CANAL_ASESOR;CANAL_ASESOR.DBO.BASE_PBI;CANAL_ASESOR.DBO.SEGUIMIENTO_INFORME;
5;CANAL_ASESOR;CANAL_ASESOR.DBO.SP_SEGUIMIENTO;4;CANAL_ASESOR;CANAL_ASESOR.DBO.SEGUIMIENTO_PLAN_2;CANAL_ASESOR.DBO.SEGUIMIENTO_INFORME;
6;CANAL_ASESOR;CANAL_ASESOR.DBO.SP_SEGUIMIENTO;4;CANAL_ASESOR;CANAL_ASESOR.DBO.BASE_ZONA;CANAL_ASESOR.DBO.SEGUIMIENTO_INFORME;
7;CANAL_ASESOR;CANAL_ASESOR.DBO.SP_SEGUIMIENTO;5;CANAL_ASESOR;CANAL_ASESOR.DBO.SEGUIMIENTO_INFORME;CANAL_ASESOR.DBO.SEGUIMIENTO_INFORME;
8;CANAL_ASESOR;CANAL_ASESOR.DBO.SP_SEGUIMIENTO;5;CANAL_ASESOR;CANAL_ASESOR.DBO.BASE_ZONA;CANAL_ASESOR.DBO.SEGUIMIENTO_INFORME;
9;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_TELEMATICA_GESTION;1;RSACLSF041;RSACLSF041.TELEMATICASURA.TELEMATICA.POLIZA;#POLIZAS_KM;
10;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_TELEMATICA_GESTION;1;RSACLSF041;RSACLSF041.TELEMATICASURA.TELEMATICA.VEHICULO;#POLIZAS_KM;
11;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_TELEMATICA_GESTION;2;;#POLIZAS_KM;#POLIZAS_KM;
12;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_TELEMATICA_GESTION;2;RSACLSF041;RSACLSF041.TELEMATICASURA.TELEMATICA.VOUCHER;#POLIZAS_KM;
13;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_TELEMATICA_GESTION;3;;#POLIZAS_KM;#ULTIMO_CICLO;
14;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_TELEMATICA_GESTION;4;;#POLIZAS_KM;#POLIZAS_KM;
15;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_TELEMATICA_GESTION;4;;#POLIZAS_KM;#POLIZAS_KM;
16;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_TELEMATICA_GESTION;5;RSACLSF041;RSACLSF041.TELEMATICASURA.DBO.FACTURACIONTELEMATICA;#POLIZA_KM_FACTURACION;
17;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_TELEMATICA_GESTION;6;RSACLSF041;RSACLSF041.TELEMATICASURA.DBO.FACTURACIONTELEMATICA_EVENTOS;#POLIZA_KM_VIAJES;
18;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_TELEMATICA_GESTION;7;;#POLIZAS_KM;TRANSACCIONAL.DBO.POLIZAS_KM_FULL;
19;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_TELEMATICA_GESTION;7;;#POLIZA_KM_FACTURACION;TRANSACCIONAL.DBO.POLIZAS_KM_FULL;
20;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_TELEMATICA_GESTION;7;;#POLIZA_KM_VIAJES;TRANSACCIONAL.DBO.POLIZAS_KM_FULL;
21;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_TELEMATICA_GESTION;8;TRANSACCIONAL;TRANSACCIONAL.DBO.POLIZAS_KM_FULL;#PRIMER_VIAJE;
22;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_TELEMATICA_GESTION;9;TRANSACCIONAL;TRANSACCIONAL.DBO.POLIZAS_KM_FULL;TRANSACCIONAL.DBO.POLIZAS_KM_FULL;
23;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_TELEMATICA_GESTION;9;;#PRIMER_VIAJE;TRANSACCIONAL.DBO.POLIZAS_KM_FULL;
24;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_TELEMATICA_GESTION;10;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_PLAN_TECNICO;#PLANES_TENICOS_S_X_KM;
25;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_TELEMATICA_GESTION;11;ALMACEN_DE_DATOS;ALMACEN_DE_DATOS.DBO.SURA_MOVILIDAD_TRANSACCIONAL;#POLIZAS_SEGURO_X_KM;
26;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_TELEMATICA_GESTION;11;;#PLANES_TENICOS_S_X_KM;#POLIZAS_SEGURO_X_KM;
27;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_TELEMATICA_GESTION;12;;#POLIZAS_SEGURO_X_KM;#GESTION_TELEMATICA;
28;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_TELEMATICA_GESTION;12;TRANSACCIONAL;TRANSACCIONAL.DBO.POLIZAS_KM_FULL;#GESTION_TELEMATICA;
29;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_TELEMATICA_GESTION;13;;#GESTION_TELEMATICA;#ULTIMO_CICLO_2;
30;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_TELEMATICA_GESTION;14;;#GESTION_TELEMATICA;#GESTION_TELEMATICA;
31;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_TELEMATICA_GESTION;14;;#GESTION_TELEMATICA;#GESTION_TELEMATICA;
32;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_TELEMATICA_GESTION;14;;#GESTION_TELEMATICA;#GESTION_TELEMATICA;
