ORDEN;bbdd_query;query;Procedimiento;bbdd_tabla;ORIGEN;DESTINO
1;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_BASE_RESUMEN_CLIENTES;1;SGV1864;SGV1864.ANALYTICSDM.DBO.BASE_ASEGURADOS_SURA;#BASE_RESUMEN_CLIENTES_1
2;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_BASE_RESUMEN_CLIENTES;1;SGV1864;SGV1864.ANALYTICSABASTECIMIENTO.DBO.BASE_PERSONAS;#BASE_RESUMEN_CLIENTES_1
3;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_BASE_RESUMEN_CLIENTES;1;SGV1864;SGV1864.ANALYTICSABASTECIMIENTO.DBO.SEGMENTACION_MULTI;#BASE_RESUMEN_CLIENTES_1
4;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_BASE_RESUMEN_CLIENTES;2;;#BASE_RESUMEN_CLIENTES_1;#BASE_RESUMEN_CLIENTES_2
5;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_BASE_RESUMEN_CLIENTES;3;;#BASE_RESUMEN_CLIENTES_2;TRANSACCIONAL.DBO.BASE_RESUMEN_CLIENTES
6;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_BASE_RESUMEN_CLIENTES;3;;#BASE_RESUMEN_CLIENTES_1;TRANSACCIONAL.DBO.BASE_RESUMEN_CLIENTES
7;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_BASE_RESUMEN_CLIENTES;4;TRANSACCIONAL;TRANSACCIONAL.DBO.BASE_RESUMEN_CLIENTES;TRANSACCIONAL.DBO.BASE_RESUMEN_CLIENTES
8;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_BASE_RESUMEN_CLIENTES;4;SGV1864;SGV1864.ANALYTICSABASTECIMIENTO.DBO.DIM_CONTACTOS_UNICO_CLIENTE;TRANSACCIONAL.DBO.BASE_RESUMEN_CLIENTES
9;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_ANTIGUEDAD_EMPRESAS;1;SGV1864;SGV1864.ANALYTICSABASTECIMIENTO.DBO.PANEL_EMPRESAS;TRANSACCIONAL.DBO.BASE_ANTIGUEDAD_EMPRESAS
10;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_ANTIGUEDAD_EMPRESAS;2;TRANSACCIONAL;TRANSACCIONAL.DBO.BASE_ANTIGUEDAD_EMPRESAS;TRANSACCIONAL.DBO.LISTA_BLANCA_RUT_EMPRESAS
11;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_00;1;SOL;SOL.S1031EBB.RSASOLDB2.EMPPER;TRANSACCIONAL.DBO.MI_PERS_MOTOR
12;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_00;2;SOL;SOL.S1031EBB.RSASOLDB2.PCAPSUVT;TRANSACCIONAL.DBO.MI_PERS_MOTOR
13;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_00;2;SOL;SOL.S1031EBB.RSASOLDB2.SUACSITE;TRANSACCIONAL.DBO.MI_PERS_MOTOR
14;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_00;2;SOL;SOL.S1031EBB.RSASOLDB2.SUACSPOL;TRANSACCIONAL.DBO.MI_PERS_MOTOR
15;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_00;2;SOL;SOL.S1031EBB.RSASOLDB2.PDACSRCC;TRANSACCIONAL.DBO.MI_PERS_MOTOR
16;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_00;2;SOL;SOL.S1031EBB.RSASOLDB2.TBACSMAE;TRANSACCIONAL.DBO.MI_PERS_MOTOR
17;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_00;2;SOL;SOL.S1031EBB.RSASOLDB2.TBACSTGE;TRANSACCIONAL.DBO.MI_PERS_MOTOR
18;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_00;2;SOL;SOL.S1031EBB.RSASOLDB2.PDACSPPT;TRANSACCIONAL.DBO.MI_PERS_MOTOR
19;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_00;2;SOL;SOL.S1031EBB.RSASOLDB2.TSACSVCA;TRANSACCIONAL.DBO.MI_PERS_MOTOR
20;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_00;2;SOL;SOL.S1031EBB.RSASOLDB2.SUACSCOB;TRANSACCIONAL.DBO.MI_PERS_MOTOR
21;TRANSACCIONAL;TRANSACCIONAL.DBO.SP_MI_TRANSACCIONAL_MOTOR_00;3;SOL;SOL.S1031EBB.RSASOLDB2.EMPPER;TRANSACCIONAL.DBO.MI_COMM_MOTOR
